time,temperature,rain,wind_speed,evapotranspiration,soil_temperature,relative_humidity
2025-11-02T00:00,12.8,0.00,7.6,0.00,11.9,96
2025-11-02T01:00,12.4,0.00,5.1,0.00,11.9,97
2025-11-02T02:00,12.2,0.00,5.0,0.00,11.9,97
2025-11-02T03:00,12.1,0.00,5.0,0.00,11.9,95
2025-11-02T04:00,12.0,0.00,3.1,0.00,11.9,92
2025-11-02T05:00,11.7,0.00,4.1,0.00,11.8,92
2025-11-02T06:00,11.7,0.00,3.7,0.00,11.8,93
2025-11-02T07:00,11.6,0.00,3.8,0.00,11.8,92
2025-11-02T08:00,11.7,0.00,5.1,0.00,11.7,90
2025-11-02T09:00,12.3,0.00,5.7,0.00,11.8,86
2025-11-02T10:00,12.6,0.00,7.4,0.00,11.8,87
2025-11-02T11:00,13.0,0.00,6.6,0.00,12.0,82
2025-11-02T12:00,13.4,0.00,8.4,0.00,12.1,78
2025-11-02T13:00,13.5,0.00,8.7,0.00,12.3,76
2025-11-02T14:00,13.4,0.00,8.0,0.00,12.5,75
2025-11-02T15:00,13.2,0.00,7.1,0.00,12.6,77
2025-11-02T16:00,12.8,0.00,5.5,0.00,12.6,81
2025-11-02T17:00,12.1,0.00,4.2,0.00,12.6,87
2025-11-02T18:00,11.6,0.00,4.5,0.00,12.5,90
2025-11-02T19:00,11.3,0.00,4.2,0.00,12.4,90
2025-11-02T20:00,10.9,0.00,3.9,0.00,12.3,90
2025-11-02T21:00,10.6,0.00,4.4,0.00,12.2,91
2025-11-02T22:00,10.1,0.00,4.3,0.00,12.0,92
2025-11-02T23:00,9.8,0.00,3.3,0.00,11.9,93
2025-11-03T00:00,9.5,0.00,4.2,0.00,11.7,93
2025-11-03T01:00,9.4,0.00,4.2,0.00,11.6,93
2025-11-03T02:00,9.5,0.00,5.2,0.00,11.4,91
2025-11-03T03:00,9.4,0.00,7.0,0.00,11.3,90
2025-11-03T04:00,9.1,0.00,7.7,0.00,11.1,88
2025-11-03T05:00,8.9,0.00,9.6,0.00,11.0,89
2025-11-03T06:00,8.7,0.00,11.4,0.00,10.8,87
2025-11-03T07:00,8.4,0.00,9.3,0.00,10.7,88
2025-11-03T08:00,8.8,0.00,10.8,0.00,10.6,86
2025-11-03T09:00,9.3,0.00,13.2,0.00,10.6,83
2025-11-03T10:00,10.1,0.00,12.1,0.00,10.6,77
